ATH,BCN
BCN,LCG
BCN,ALG
BCN,ALC
BCN,LEI
BCN,AMS
BCN,OVD
BCN,ATH
BCN,BRI
BCN,BSL
BCN,TXL
BCN,BIO
BCN,BHX
BCN,BLQ
BCN,BOD
BCN,BRU
BCN,CAG
BCN,CTA
BCN,CPH
BCN,DUB
BCN,EDI
BCN,FLR
BCN,FUE
BCN,GVA
BCN,LPA
BCN,GRX
BCN,HAM
BCN,HAJ
BCN,HEL
BCN,IBZ
BCN,XRY
BCN,ACE
BCN,LIS
BCN,LON
BCN,LYS
BCN,MAD
BCN,PMI
BCN,AGP
BCN,MLA
BCN,MAN
BCN,RAK
BCN,MRS
BCN,MAH
BCN,MXP
BCN,MOW
BCN,MUC
BCN,NTE
BCN,NAP
BCN,NCE
BCN,NUE
BCN,OPO
BCN,OSL
BCN,PMO
BCN,PAR
BCN,PSA
BCN,PRG
BCN,RNS
BCN,FCO
BCN,EAS
BCN,SDR
BCN,SCQ
BCN,SVQ
BCN,STR
BCN,TNG
BCN,TLV
BCN,TCI
BCN,TLS
BCN,TRN
BCN,VLC
BCN,VLL
BCN,VCE
BCN,VIE
BCN,VGO
BCN,WAW
BCN,ZRH
BRI,BCN
BSL,BCN
TXL,BCN
TXL,BIO
BIO,ALC
BIO,AMS
BIO,BCN
BIO,TXL
BIO,FUE
BIO,LPA
BIO,GRX
BIO,IBZ
BIO,XRY
BIO,ACE
BIO,LIS
BIO,LON
BIO,PMI
BIO,AGP
BIO,MAH
BIO,MXP
BIO,PAR
BIO,FCO
BIO,SVQ
BIO,TCI
BIO,VLC
